date,name,type,scope,notes
2019-11-15,Proclamação da República,holiday,national,
2019-12-25,Natal,holiday,national,
2020-01-01,Confraternização Universal (Ano Novo),holiday,national,
2020-04-10,Paixão de Cristo (Sexta-feira Santa),holiday,national,
2020-04-20,Ponte do feriado: Tiradentes,bridge,national,Regra: feriado na terça → segunda é ponte
2020-04-21,Tiradentes,holiday,national,
2020-05-01,Dia do Trabalho,holiday,national,
2020-09-07,Independência do Brasil,holiday,national,
2020-10-12,Nossa Senhora Aparecida,holiday,national,
2020-11-02,Finados,holiday,national,
2020-11-15,Proclamação da República,holiday,national,
2020-12-25,Natal,holiday,national,
2021-01-01,Confraternização Universal (Ano Novo),holiday,national,
2021-04-02,Paixão de Cristo (Sexta-feira Santa),holiday,national,
2021-04-21,Tiradentes,holiday,national,
2021-05-01,Dia do Trabalho,holiday,national,
2021-09-06,Ponte do feriado: Independência do Brasil,bridge,national,Regra: feriado na terça → segunda é ponte
2021-09-07,Independência do Brasil,holiday,national,
2021-10-11,Ponte do feriado: Nossa Senhora Aparecida,bridge,national,Regra: feriado na terça → segunda é ponte
2021-10-12,Nossa Senhora Aparecida,holiday,national,
2021-11-01,Ponte do feriado: Finados,bridge,national,Regra: feriado na terça → segunda é ponte
2021-11-02,Finados,holiday,national,
2021-11-15,Proclamação da República,holiday,national,
2021-12-25,Natal,holiday,national,
2022-01-01,Confraternização Universal (Ano Novo),holiday,national,
2022-04-15,Paixão de Cristo (Sexta-feira Santa),holiday,national,
2022-04-21,Tiradentes,holiday,national,
2022-04-22,Ponte do feriado: Tiradentes,bridge,national,Regra: feriado na quinta → sexta é ponte
2022-05-01,Dia do Trabalho,holiday,national,
2022-09-07,Independência do Brasil,holiday,national,
2022-10-12,Nossa Senhora Aparecida,holiday,national,
2022-11-02,Finados,holiday,national,
2022-11-14,Ponte do feriado: Proclamação da República,bridge,national,Regra: feriado na terça → segunda é ponte
2022-11-15,Proclamação da República,holiday,national,
2022-12-25,Natal,holiday,national,
2023-01-01,Confraternização Universal (Ano Novo),holiday,national,
2023-04-07,Paixão de Cristo (Sexta-feira Santa),holiday,national,
2023-04-21,Tiradentes,holiday,national,
2023-05-01,Dia do Trabalho,holiday,national,
2023-09-07,Independência do Brasil,holiday,national,
2023-09-08,Ponte do feriado: Independência do Brasil,bridge,national,Regra: feriado na quinta → sexta é ponte
2023-10-12,Nossa Senhora Aparecida,holiday,national,
2023-10-13,Ponte do feriado: Nossa Senhora Aparecida,bridge,national,Regra: feriado na quinta → sexta é ponte
2023-11-02,Finados,holiday,national,
2023-11-03,Ponte do feriado: Finados,bridge,national,Regra: feriado na quinta → sexta é ponte
2023-11-15,Proclamação da República,holiday,national,
2023-12-25,Natal,holiday,national,
2024-01-01,Confraternização Universal (Ano Novo),holiday,national,
2024-03-29,Paixão de Cristo (Sexta-feira Santa),holiday,national,
2024-04-21,Tiradentes,holiday,national,
2024-05-01,Dia do Trabalho,holiday,national,
2024-09-07,Independência do Brasil,holiday,national,
2024-10-12,Nossa Senhora Aparecida,holiday,national,
2024-11-02,Finados,holiday,national,
2024-11-15,Proclamação da República,holiday,national,
2024-11-20,Dia da Consciência Negra,holiday,national,
2024-12-25,Natal,holiday,national,
2025-01-01,Confraternização Universal (Ano Novo),holiday,national,
2025-04-18,Paixão de Cristo (Sexta-feira Santa),holiday,national,
2025-04-21,Tiradentes,holiday,national,
2025-05-01,Dia do Trabalho,holiday,national,
2025-05-02,Ponte do feriado: Dia do Trabalho,bridge,national,Regra: feriado na quinta → sexta é ponte
2025-09-07,Independência do Brasil,holiday,national,
2025-10-12,Nossa Senhora Aparecida,holiday,national,
2025-11-02,Finados,holiday,national,
2025-11-15,Proclamação da República,holiday,national,
2025-11-20,Dia da Consciência Negra,holiday,national,
2025-11-21,Ponte do feriado: Dia da Consciência Negra,bridge,national,Regra: feriado na quinta → sexta é ponte
2025-12-25,Natal,holiday,national,
2025-12-26,Ponte do feriado: Natal,bridge,national,Regra: feriado na quinta → sexta é ponte
